altitude_km,temperature_k,pressure_pa,pressure_bar,co2_ppm,co2_partial_pressure_pa,co2_number_density_m3
0.000000000000000000e+00,2.881499999999999773e+02,1.013250000000000000e+05,1.013249999999999984e+00,4.200000000000000000e+02,4.255649999999999977e+01,1.069704927176306983e+22
5.000000000000000000e-01,2.848999999999999773e+02,9.546083533653129416e+04,9.546083533653129116e-01,4.200000000000000000e+02,4.009355084134313785e+01,1.019292406553864097e+22
1.000000000000000000e+00,2.816499999999999773e+02,8.987456291621955461e+04,8.987456291621955806e-01,4.200000000000000000e+02,3.774731642481221172e+01,9.707179120345969852e+21
1.500000000000000000e+00,2.783999999999999773e+02,8.455599407375644660e+04,8.455599407375644638e-01,4.200000000000000000e+02,3.551351751097770659e+01,9.239344836669502128e+21
2.000000000000000000e+00,2.751499999999999773e+02,7.949520193405098689e+04,7.949520193405098523e-01,4.200000000000000000e+02,3.338798481230141135e+01,8.788958371269772837e+21
2.500000000000000000e+00,2.718999999999999773e+02,7.468251762408376089e+04,7.468251762408376626e-01,4.200000000000000000e+02,3.136665740211517672e+01,8.355563617147684913e+21
3.000000000000000000e+00,2.686499999999999773e+02,7.010852649606043997e+04,7.010852649606044151e-01,4.200000000000000000e+02,2.944558112834538122e+01,7.938711183333970149e+21
3.500000000000000000e+00,2.653999999999999773e+02,6.576406436196422146e+04,6.576406436196422511e-01,4.200000000000000000e+02,2.762090703202497011e+01,7.537958374500246487e+21
4.000000000000000000e+00,2.621499999999999773e+02,6.164021373960735946e+04,6.164021373960736350e-01,4.200000000000000000e+02,2.588888977063508889e+01,7.152869170387848528e+21
4.500000000000000000e+00,2.588999999999999773e+02,5.772830011028642912e+04,5.772830011028643460e-01,4.200000000000000000e+02,2.424588604632029742e+01,6.783014205050661634e+21
5.000000000000000000e+00,2.556499999999999773e+02,5.401988818814578553e+04,5.401988818814578153e-01,4.200000000000000000e+02,2.268835303902122646e+01,6.427970745907900580e+21
