altitude_km,temperature_k,pression_pa,pression_bar,co2_ppm,pression_partielle_co2_pa,concentration_co2_molecules_m3
0.000000000000000000e+00,2.881499999999999773e+02,1.013250000000000000e+05,1.013249999999999984e+00,4.200000000000000000e+02,4.255649999999999977e+01,1.069704927176306983e+22
1.000000000000000056e-01,2.875000000000000000e+02,1.001294377388044086e+05,1.001294377388044055e+00,4.200000000000000000e+02,4.205436385029784674e+01,1.059473104133990803e+22
2.000000000000000111e-01,2.868499999999999659e+02,9.894532398666067456e+04,9.894532398666067152e-01,4.200000000000000000e+02,4.155703607439748026e+01,1.049316322192324664e+22
2.999999999999999889e-01,2.861999999999999886e+02,9.777257468459181837e+04,9.777257468459181755e-01,4.200000000000000000e+02,4.106448136752855760e+01,1.039234199166596940e+22
4.000000000000000222e-01,2.855499999999999545e+02,9.661110620221658610e+04,9.661110620221659007e-01,4.200000000000000000e+02,4.057666460493096139e+01,1.029226353958170552e+22
5.000000000000000000e-01,2.848999999999999773e+02,9.546083533653129416e+04,9.546083533653129116e-01,4.200000000000000000e+02,4.009355084134313785e+01,1.019292406553864097e+22
5.999999999999999778e-01,2.842500000000000000e+02,9.432167931069040787e+04,9.432167931069040945e-01,4.200000000000000000e+02,3.961510531048996597e+01,1.009431978025313056e+22
6.999999999999999556e-01,2.835999999999999659e+02,9.319355577278873534e+04,9.319355577278873870e-01,4.200000000000000000e+02,3.914129342457126626e+01,9.996446905283389686e+21
8.000000000000000444e-01,2.829499999999999886e+02,9.207638279464461084e+04,9.207638279464460673e-01,4.200000000000000000e+02,3.867208077375073572e+01,9.899301673023177753e+21
9.000000000000000222e-01,2.822999999999999545e+02,9.097007887058288907e+04,9.097007887058289333e-01,4.200000000000000000e+02,3.820743312564481187e+01,9.802880326695443759e+21
1.000000000000000000e+00,2.816499999999999773e+02,8.987456291621955461e+04,8.987456291621955806e-01,4.200000000000000000e+02,3.774731642481221172e+01,9.707179120345969852e+21
1.100000000000000089e+00,2.810000000000000000e+02,8.878975426724614226e+04,8.878975426724614595e-01,4.200000000000000000e+02,3.729169679224337841e+01,9.612194318836983398e+21
1.199999999999999956e+00,2.803499999999999659e+02,8.771557267821583082e+04,8.771557267821583626e-01,4.200000000000000000e+02,3.684054052485064545e+01,9.517922197840808903e+21
1.300000000000000044e+00,2.796999999999999886e+02,8.665193832132981333e+04,8.665193832132981333e-01,4.200000000000000000e+02,3.639381409495852182e+01,9.424359043833487426e+21
1.399999999999999911e+00,2.790499999999999545e+02,8.559877178522376926e+04,8.559877178522377061e-01,4.200000000000000000e+02,3.595148414979397700e+01,9.331501154088310014e+21
