altitude_geometrique_km,altitude_geopotentielle_km,temperature_k,temperature_c,pression_pa,pression_hpa
0.000000000000000000e+00,0.000000000000000000e+00,2.881499999999999773e+02,1.500000000000000000e+01,1.013250000000000000e+05,1.013250000000000000e+03
1.000000000000000056e-01,9.999842689778265514e-02,2.875000102251643739e+02,1.435001022516439662e+01,1.001294564559528371e+05,1.001294564559528339e+03
2.000000000000000111e-01,1.999937076901150690e-01,2.868500409000142213e+02,1.370004090001424402e+01,9.894539813636735198e+04,9.894539813636735062e+02
2.999999999999999889e-01,2.999858425254668948e-01,2.862000920235844319e+02,1.305009202358445464e+01,9.777273991588073841e+04,9.777273991588074296e+02
4.000000000000000222e-01,3.999748315522986264e-01,2.855501635949100319e+02,1.240016359491005460e+01,9.661139711354447354e+04,9.661139711354447854e+02
5.000000000000000000e-01,4.999606749190610988e-01,2.849002556130261041e+02,1.175025561302612687e+01,9.546128549146842852e+04,9.546128549146842488e+02
5.999999999999999778e-01,5.999433727741960709e-01,2.842503680769676748e+02,1.110036807696769756e+01,9.432232125346599787e+04,9.432232125346599787e+02
6.999999999999999556e-01,6.999229252661359757e-01,2.836005009857701111e+02,1.045050098577013387e+01,9.319442104370132438e+04,9.319442104370132256e+02
8.000000000000000444e-01,7.998993325433035873e-01,2.829506543384684960e+02,9.800654338468518745e+00,9.207750194533620379e+04,9.207750194533620061e+02
9.000000000000000222e-01,8.998725947541126313e-01,2.823008281340982535e+02,9.150828134098276223e+00,9.097148147918061295e+04,9.097148147918061341e+02
1.000000000000000000e+00,9.998427120469673968e-01,2.816510223716946939e+02,8.501022371694716639e+00,8.987627760234236484e+04,8.987627760234236121e+02
1.100000000000000089e+00,1.099809684570262958e+00,2.810012370502932413e+02,7.851237050293264019e+00,8.879180870687947026e+04,8.879180870687946481e+02
1.199999999999999956e+00,1.199773512472384951e+00,2.803514721689294902e+02,7.201472168929512918e+00,8.771799361845360545e+04,8.771799361845360181e+02
1.300000000000000044e+00,1.299734195901709688e+00,2.797017277266388646e+02,6.551727726638887361e+00,8.665475159498385619e+04,8.665475159498386120e+02
