altitude_km,temperature_k,pression_pa,pression_hpa,co2_ppm,pression_partielle_co2_pa,concentration_co2_molecules_m3
0.000000000000000000e+00,2.881499999999999773e+02,1.013250000000000000e+05,1.013250000000000000e+03,4.200000000000000000e+02,4.255649999999999977e+01,1.069704927176306983e+22
1.000000000000000056e-01,2.875000102251643739e+02,1.001294564559528371e+05,1.001294564559528339e+03,4.200000000000000000e+02,4.205437171150018827e+01,1.059473264499794274e+22
2.000000000000000111e-01,2.868500409000142213e+02,9.894539813636735198e+04,9.894539813636735062e+02,4.200000000000000000e+02,4.155706721727428743e+01,1.049316958935779272e+22
2.999999999999999889e-01,2.862000920235844319e+02,9.777273991588073841e+04,9.777273991588074296e+02,4.200000000000000000e+02,4.106455076466990306e+01,1.039235621274429424e+22
4.000000000000000222e-01,2.855501635949100319e+02,9.661139711354447354e+04,9.661139711354447854e+02,4.200000000000000000e+02,4.057678678768867542e+01,1.029228863464415638e+22
5.000000000000000000e-01,2.849002556130261041e+02,9.546128549146842852e+04,9.546128549146842488e+02,4.200000000000000000e+02,4.009373990641673657e+01,1.019296298611927679e+22
5.999999999999999778e-01,2.842503680769676748e+02,9.432232125346599787e+04,9.432232125346599787e+02,4.200000000000000000e+02,3.961537492645571490e+01,1.009437540979689338e+22
6.999999999999999556e-01,2.836005009857701111e+02,9.319442104370132438e+04,9.319442104370132256e+02,4.200000000000000000e+02,3.914165683835454956e+01,9.996522059859805340e+21
8.000000000000000444e-01,2.829506543384684960e+02,9.207750194533620379e+04,9.207750194533620061e+02,4.200000000000000000e+02,3.867255081704120556e+01,9.899399102036409582e+21
9.000000000000000222e-01,2.823008281340982535e+02,9.097148147918061295e+04,9.097148147918061341e+02,4.200000000000000000e+02,3.820802222125585246e+01,9.803002713590965731e+21
1.000000000000000000e+00,2.816510223716946939e+02,8.987627760234236484e+04,8.987627760234236121e+02,4.200000000000000000e+02,3.774803659298378733e+01,9.707329083313651450e+21
1.100000000000000089e+00,2.810012370502932413e+02,8.879180870687947026e+04,8.879180870687946481e+02,4.200000000000000000e+02,3.729255965688937380e+01,9.612374411510714204e+21
1.199999999999999956e+00,2.803514721689294902e+02,8.771799361845360545e+04,8.771799361845360181e+02,4.200000000000000000e+02,3.684155731975051395e+01,9.518134909994633527e+21
1.300000000000000044e+00,2.797017277266388646e+02,8.665475159498385619e+04,8.665475159498386120e+02,4.200000000000000000e+02,3.639499566989321977e+01,9.424606802074144866e+21
1.399999999999999911e+00,2.790520037224570729e+02,8.560200232530357607e+04,8.560200232530357880e+02,4.200000000000000000e+02,3.595284097662749900e+01,9.331786322544453222e+21
1.500000000000000000e+00,2.784023001554197094e+02,8.455966592781676445e+04,8.455966592781676354e+02,4.200000000000000000e+02,3.551505968968303506e+01,9.239669717677240222e+21
1.600000000000000089e+00,2.777526170245625963e+02,8.352766294915736944e+04,8.352766294915736580e+02,4.200000000000000000e+02,3.508161843864608898e+01,9.148253245210847347e+21
